difficulty,puzzle_id,P_0,P_1,P_2,P_3,P_4,P_5,P_6,P_7,P_8,total_invocations,initial_vertex_count,initial_edge_count,edge_build_ns,pruned_vertex_count,pruned_edge_count,removed_vertices,pruning_time_ns,solution_count,puzzle_classification,extraction_time_ns,mask_init_time_ns,permutation_time_ns,total_time_ns
easy,0,96,72,520,14,468,22,1,336,4,343310,1533,28179,501850394,9,18,1524,1578606,1,Unique,8525,153345,35478484,541538120
easy,1,45,8,20,6,1,117,440,30,184,152461,851,12345,142696612,9,18,842,1220656,1,Unique,8175,84499,20127275,165280000
easy,2,20,2,36,86,18,18,108,142,21,42664,451,3813,48551900,9,18,442,892667,1,Unique,7142,81104,12285473,62506524
easy,3,168,65,76,50,8,4,350,4,21,125590,746,11048,118276605,9,18,737,1365293,1,Unique,8917,82964,16191360,136999663
easy,4,38,54,112,56,14,4,156,32,14,42840,480,5438,56544709,9,18,471,200986,1,Unique,7277,85339,10361226,67909272
easy,5,4,32,438,28,88,64,1,8,32,74096,695,6509,83442161,9,18,686,667306,1,Unique,7769,106405,13546023,98778333
easy,6,7,28,22,256,672,66,6,168,248,441468,1473,37018,449426875,9,18,1464,18010490,1,Unique,8198,80812,27130891,496671759
easy,7,24,52,14,18,28,1,26,11,122,13366,296,1729,20648753,9,18,287,111775,1,Unique,6573,78973,6752681,28134820
easy,8,5,32,2,52,50,17,120,336,12,86874,626,7226,76892483,9,18,617,834883,1,Unique,7171,86523,12474779,91201267
easy,9,16,20,13,24,28,28,80,32,8,12744,249,1888,17267707,9,18,240,173276,1,Unique,10635,84559,6161839,24289487
easy,10,12,24,24,12,16,2,230,90,14,36640,424,2768,36553359,9,18,415,257517,1,Unique,10708,84204,13198742,50815529
easy,11,32,90,56,9,8,448,26,10,192,149482,871,13920,150782558,9,18,862,2048327,1,Unique,8707,84444,17913150,172020865
easy,12,51,21,1,46,16,3,112,60,135,48314,445,4978,47346922,9,18,436,306333,1,Unique,8271,92289,9334286,57806791
easy,13,3,4,32,50,32,648,48,6,1132,909922,1955,41952,598462788,9,18,1946,2325368,1,Unique,9299,88148,43874139,647283584
easy,14,7,20,8,14,2,83,470,316,186,330978,1106,21448,251386083,9,18,1097,1522202,1,Unique,7184,80592,29066022,283578945
easy,15,12,220,24,6,6,56,20,44,48,29748,436,3812,39746767,9,18,427,497080,1,Unique,7363,77994,11074780,52062991
easy,16,66,1,52,16,14,544,10,6,356,268294,1065,15640,218289719,9,18,1056,878977,1,Unique,7209,81470,22798090,244251173
easy,17,95,49,6,38,2,30,36,48,36,23967,340,3314,29082373,9,18,331,314635,1,Unique,8310,81444,8996920,39011383
easy,18,10,89,12,75,36,90,78,1356,78,421508,1824,30986,411951103,9,18,1815,7097198,1,Unique,7763,86583,31578549,453147995
